dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.8195,0.7769999999999999,0.020024984394500792
S2_1P,final_token,1,0.8254999999999999,0.7825,0.014781745499094457
S2_1P,final_token,2,0.8325000000000001,0.7935,0.026786190471957707
S2_1P,final_token,3,0.851,0.7849999999999999,0.014882876066137219
S2_1P,final_token,4,0.8714999999999999,0.8140000000000001,0.028661821295933042
S2_1P,final_token,5,0.875,0.8035,0.02970690155502587
S2_1P,final_token,6,0.8634999999999999,0.8145,0.028222331583340143
S2_1P,final_token,7,0.8695,0.8230000000000001,0.03295451410656818
S2_1P,final_token,8,0.889,0.8225,0.04411915683691157
S2_1P,final_token,9,0.867,0.8285,0.029470324056582717
S2_1P,final_token,10,0.8634999999999999,0.833,0.02353720459187966
S2_1P,final_token,11,0.866,0.8275,0.029857997253667258
S2_1P,final_token,12,0.8510000000000002,0.7555000000000001,0.03600694377477763
S2_1P,final_token,13,0.8504999999999999,0.7745,0.03678994427829436
S2_1P,final_token,14,0.8530000000000001,0.7745,0.04293599888205703
S2_1P,final_token,15,0.8699999999999999,0.843,0.037914377220257735
S2_1P,final_token,16,0.8789999999999999,0.8460000000000001,0.0414004830889689
S2_1P,final_token,17,0.8729999999999999,0.843,0.031320919526731654
S2_1P,final_token,18,0.9065000000000001,0.8594999999999999,0.02930870177950569
S2_1P,final_token,19,0.917,0.8604999999999998,0.019836834424877374
S2_1P,final_token,20,0.9075,0.8634999999999999,0.026028830169640735
S2_1P,final_token,21,0.9049999999999999,0.861,0.029025850547399975
S2_1P,final_token,22,0.9004999999999999,0.869,0.030430248109405846
S2_1P,final_token,23,0.8969999999999999,0.8684999999999998,0.03912799509302769
S2_1P,final_token,24,0.9029999999999999,0.8725000000000002,0.04047838929601823
S2_1P,final_token,25,0.909,0.868,0.0378351688247852
S2_1P,final_token,26,0.9084999999999999,0.8615,0.03386000590667399
S2_1P,final_token,27,0.9084999999999999,0.8575000000000002,0.03288616730481065
S2_1P,final_token,28,0.9084999999999999,0.849,0.03039736830714131
S2_1P,final_token,29,0.9004999999999999,0.844,0.03403674485023502
S2_1P,final_token,30,0.9019999999999999,0.8399999999999999,0.02993325909419148
S2_1P,final_token,31,0.9085000000000001,0.8465,0.031408597549078814
S2_1P,final_token,32,0.9045,0.8465,0.03529872518944556
S2_1P,final_token,33,0.9084999999999999,0.8495000000000001,0.039038442591886255
