dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.12047036,0.25981763005256653,-0.50075835
S1_3P,human,-0.33044663,0.0039527760818600655,-0.66484606
S2_1P,human,0.0,0.8264247179031372,-0.8264248
S2_3P,human,-0.15994033,0.45081353187561035,-0.7706944
Random_1P,neutral,-0.71196645,,-0.71196645
Random_3P,neutral,-0.7653191,,-0.7653191
Arousal_1P,arousal,-0.09432821,,-0.09432821
Arousal_3P,arousal,-0.3302758,,-0.3302758
Numb_1P,numb,-0.30927995,,-0.30927995
Numb_3P,numb,-0.29726478,,-0.29726478
ControlSupplement_1P,control_supplement,-0.019475322,,-0.019475322
SD_sadness_1P,sadness,-0.092877425,,-0.092877425
SD_sadness_3P,sadness,-0.23213917,,-0.23213917
