,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.5548,0.1798,0.1348,-0.0616,0.1470,0.0718,-0.0160,0.2660,0.3186
S2_pain,0.5548,1.0000,0.0853,0.2253,0.0323,0.0108,0.1711,0.0151,0.1373,0.2697
Fear,0.1798,0.0853,1.0000,0.6318,0.5812,0.1733,0.3930,0.1529,0.3726,0.2855
NegEmotion,0.1348,0.2253,0.6318,1.0000,0.7326,0.0492,0.3652,0.1584,0.2797,0.4903
NegWorld,-0.0616,0.0323,0.5812,0.7326,1.0000,0.0070,0.3807,0.2191,0.1911,0.4269
BodySens,0.1470,0.0108,0.1733,0.0492,0.0070,1.0000,0.2833,0.2615,0.3346,0.1720
Arousal,0.0718,0.1711,0.3930,0.3652,0.3807,0.2833,1.0000,0.0415,0.1402,0.2869
Random,-0.0160,0.0151,0.1529,0.1584,0.2191,0.2615,0.0415,1.0000,0.0452,0.0477
Numb,0.2660,0.1373,0.3726,0.2797,0.1911,0.3346,0.1402,0.0452,1.0000,0.3671
Sadness,0.3186,0.2697,0.2855,0.4903,0.4269,0.1720,0.2869,0.0477,0.3671,1.0000
