,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.5548,0.3470,0.2388,0.1598,0.2252,0.1488,0.0799,0.3569,0.3664
S2_pain,0.5548,1.0000,0.1264,0.2475,-0.1154,0.0560,0.1648,-0.0925,0.2126,0.3180
Fear,0.3470,0.1264,1.0000,0.6418,0.5210,0.6542,0.3105,0.2628,0.4044,0.3021
NegEmotion,0.2388,0.2475,0.6418,1.0000,0.2702,0.6508,0.1948,0.2652,0.4112,0.2132
NegWorld,0.1598,-0.1154,0.5210,0.2702,1.0000,0.8018,0.2925,0.2462,0.1819,0.1641
BodySens,0.2252,0.0560,0.6542,0.6508,0.8018,1.0000,0.3912,0.2884,0.3074,0.2259
Arousal,0.1488,0.1648,0.3105,0.1948,0.2925,0.3912,1.0000,0.0518,0.1129,0.1998
Random,0.0799,-0.0925,0.2628,0.2652,0.2462,0.2884,0.0518,1.0000,0.0797,0.1564
Numb,0.3569,0.2126,0.4044,0.4112,0.1819,0.3074,0.1129,0.0797,1.0000,0.2390
Sadness,0.3664,0.3180,0.3021,0.2132,0.1641,0.2259,0.1998,0.1564,0.2390,1.0000
