,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.5774,0.1244,0.0743,-0.0276,0.0159,0.0915,0.0768,0.1271,0.2894
S2_pain,0.5774,1.0000,0.0796,0.1970,0.0484,-0.0053,0.2057,-0.0107,0.1350,0.3343
Fear,0.1244,0.0796,1.0000,0.6229,0.5756,0.1810,0.4021,0.1404,0.3549,0.2968
NegEmotion,0.0743,0.1970,0.6229,1.0000,0.7217,0.0851,0.3474,0.1782,0.2820,0.4831
NegWorld,-0.0276,0.0484,0.5756,0.7217,1.0000,0.0284,0.3749,0.2103,0.1996,0.4374
BodySens,0.0159,-0.0053,0.1810,0.0851,0.0284,1.0000,0.3454,0.2909,0.3381,0.2349
Arousal,0.0915,0.2057,0.4021,0.3474,0.3749,0.3454,1.0000,0.0902,0.1581,0.2885
Random,0.0768,-0.0107,0.1404,0.1782,0.2103,0.2909,0.0902,1.0000,0.0797,0.1691
Numb,0.1271,0.1350,0.3549,0.2820,0.1996,0.3381,0.1581,0.0797,1.0000,0.3742
Sadness,0.2894,0.3343,0.2968,0.4831,0.4374,0.2349,0.2885,0.1691,0.3742,1.0000
