model,layer,vector,end,rank,token,score
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,1,自卑,0.1275
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,2, hurt,0.1262
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,3, embar,0.1178
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,4, Shame,0.115
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,5,伤害,0.1143
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,6, Hurt,0.1019
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,7, wounded,0.1016
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,8,辜负,0.1012
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,9, уни,0.1002
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,10, hollow,0.0972
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,11, humiliation,0.0961
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,12,自负,0.0959
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,13,背叛,0.0956
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,14, betrayal,0.0948
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,15,伤,0.0948
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,16,受伤,0.0948
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,17,悔,0.0933
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,18,羞,0.0922
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,19, betray,0.0917
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,20,恧,0.0913
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,21,椟,0.0905
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,22,虚,0.0903
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,23,傷,0.0895
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,24, embarrassing,0.0894
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,25,孤立,0.0891
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,26, shy,0.0886
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,27,嫉妒,0.0882
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,28, hurts,0.088
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,29,尴尬,0.088
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,30, Flam,0.0879
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,31, bitterness,0.0877
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,32,割,0.0875
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,33,intro,0.0874
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,34, betrayed,0.087
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,35,抑郁症,0.0868
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,36, ashamed,0.0867
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,37,害羞,0.0862
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,38, shame,0.0859
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,39,切割,0.0855
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,40, bitter,0.0844
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,41,腼,0.0843
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,42,bite,0.0841
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,43, embarrassment,0.084
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,44, resentment,0.084
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,45,委屈,0.0839
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,46,UrlParser,0.0838
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,47,创伤,0.0837
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,48,婞,0.0837
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,49,辜,0.0834
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,50,lon,0.0829
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,51,弃,0.0828
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,52,exclusive,0.0827
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,53, lonely,0.0822
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,54,耻,0.082
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,55,琭,0.0819
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,56,pain,0.0818
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,57, resent,0.0817
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,58, embarrassed,0.0816
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,59, intro,0.081
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,top,60,_crossentropy,0.081
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,1,担忧,-0.1213
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,2, Concern,-0.1193
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,3, concern,-0.1126
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,4,恐怖,-0.111
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,5,担心,-0.1084
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,6,Concern,-0.1067
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,7, horror,-0.1054
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,8, concerns,-0.1039
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,9,饥饿,-0.1012
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,10,关切,-0.1007
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,11, concerned,-0.0999
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,12,恐惧,-0.0944
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,13,惊,-0.0942
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,14, terror,-0.0907
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,15,警,-0.0888
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,16,惊叹,-0.0885
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,17, relax,-0.0883
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,18, alarm,-0.0881
Qwen_2.5_32B_instruct_abliterated,60,s2_pain_vector,bottom,19,呼吸,-0.0879
