dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,0.02312728,0.659302294254303,-0.6130477
S1_3P,human,-0.0519166,0.40366318821907043,-0.5074963
S2_1P,human,1.07288365e-08,0.8072634339332581,-0.80726343
S2_3P,human,-0.25146425,0.2489463984966278,-0.7518749
Random_1P,neutral,-0.036376458,,-0.036376458
Random_3P,neutral,-0.34903184,,-0.34903184
Arousal_1P,arousal,-0.28119382,,-0.28119382
Arousal_3P,arousal,-0.44344398,,-0.44344398
Numb_1P,numb,0.17983572,,0.17983572
Numb_3P,numb,0.22789739,,0.22789739
ControlSupplement_1P,control_supplement,0.2676276,,0.2676276
SD_sadness_1P,sadness,0.3563777,,0.3563777
SD_sadness_3P,sadness,0.19876051,,0.19876051
