dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.8564999999999999,0.6449999999999999,0.03411744421846393
S2_1P,final_token,1,0.8620000000000001,0.642,0.03381567683782187
S2_1P,final_token,2,0.8995000000000001,0.6685,0.039223717314910374
S2_1P,final_token,3,0.9094999999999999,0.6540000000000001,0.032649655434629
S2_1P,final_token,4,0.909,0.6905,0.030438462510448856
S2_1P,final_token,5,0.915,0.7095,0.03074085229787878
S2_1P,final_token,6,0.9075,0.7225,0.026551836094703525
S2_1P,final_token,7,0.8985,0.7384999999999999,0.02426932219902319
S2_1P,final_token,8,0.9109999999999999,0.7459999999999999,0.025961509971494347
S2_1P,final_token,9,0.9095000000000001,0.784,0.023843238035132705
S2_1P,final_token,10,0.9115,0.806,0.025961509971494337
S2_1P,final_token,11,0.909,0.8004999999999999,0.021071307505705468
S2_1P,final_token,12,0.8930000000000001,0.7835000000000001,0.026048032555262172
S2_1P,final_token,13,0.8880000000000001,0.7845000000000001,0.030512292604784712
S2_1P,final_token,14,0.885,0.7855,0.030331501776206176
S2_1P,final_token,15,0.9019999999999999,0.8085000000000001,0.028080242164197966
S2_1P,final_token,16,0.9065,0.8105,0.026767517628648346
S2_1P,final_token,17,0.9195,0.8154999999999999,0.02342007685726069
S2_1P,final_token,18,0.9185000000000001,0.8225000000000001,0.01692631087981074
S2_1P,final_token,19,0.9365000000000002,0.8185,0.016552945357246867
S2_1P,final_token,20,0.9490000000000001,0.8154999999999999,0.012999999999999998
S2_1P,final_token,21,0.9495000000000001,0.826,0.019962464777677123
S2_1P,final_token,22,0.9595,0.8140000000000001,0.01932614809008769
S2_1P,final_token,23,0.9640000000000001,0.8104999999999999,0.017291616465790593
S2_1P,final_token,24,0.9650000000000001,0.8260000000000002,0.016955824957813174
S2_1P,final_token,25,0.9540000000000001,0.8265,0.021248529360875797
S2_1P,final_token,26,0.9669999999999999,0.8234999999999999,0.02266053838724932
S2_1P,final_token,27,0.9709999999999999,0.8335000000000001,0.01953202498462461
S2_1P,final_token,28,0.9730000000000001,0.8200000000000001,0.016537835408541222
S2_1P,final_token,29,0.9744999999999999,0.8100000000000002,0.017421251390184384
S2_1P,final_token,30,0.9799999999999999,0.7959999999999999,0.008944271909999166
S2_1P,final_token,31,0.9785,0.799,0.011247221879201937
S2_1P,final_token,32,0.9664999999999999,0.7955,0.017578395831246946
S2_1P,final_token,33,0.9594999999999999,0.7805000000000001,0.016462077633154323
S2_1P,final_token,34,0.9540000000000001,0.7865,0.021248529360875797
S2_1P,final_token,35,0.9489999999999998,0.784,0.0223941956765587
S2_1P,final_token,36,0.9324999999999999,0.784,0.015411035007422446
S2_1P,final_token,37,0.938,0.783,0.0208806130178211
S2_1P,final_token,38,0.9399999999999998,0.7895000000000001,0.01604680653588121
S2_1P,final_token,39,0.9435,0.789,0.01662828914831589
S2_1P,final_token,40,0.9455,0.8039999999999999,0.01646207763315433
S2_1P,final_token,41,0.9385,0.793,0.013379088160259622
S2_1P,final_token,42,0.9385000000000001,0.7775000000000001,0.01007472083980495
S2_1P,final_token,43,0.9469999999999998,0.7905,0.01833030277982338
S2_1P,final_token,44,0.9525,0.805,0.016124515496597124
S2_1P,final_token,45,0.9355,0.8,0.030512292604784712
S2_1P,final_token,46,0.9099999999999999,0.8030000000000002,0.04816637831516916
S2_1P,final_token,47,0.897,0.819,0.03582596823534571
S2_1P,final_token,48,0.8789999999999999,0.828,0.015858751527153672
S2_1P,final_token,49,0.884,0.8365,0.019659603251337483
S2_1P,final_token,50,0.8905,0.829,0.028870400066504136
S2_1P,final_token,51,0.8995,0.8380000000000001,0.02466779276708804
S2_1P,final_token,52,0.8955,0.8504999999999999,0.026523574419749653
S2_1P,final_token,53,0.892,0.858,0.023097618924902193
S2_1P,final_token,54,0.8939999999999999,0.8554999999999999,0.020892582415776146
S2_1P,final_token,55,0.9055,0.8720000000000001,0.020579115627256662
S2_1P,final_token,56,0.9325000000000001,0.8959999999999999,0.024899799195977432
S2_1P,final_token,57,0.9410000000000001,0.9019999999999999,0.023484037131634765
S2_1P,final_token,58,0.9470000000000001,0.9049999999999999,0.018934096228761514
S2_1P,final_token,59,0.954,0.907,0.017507141400011618
S2_1P,final_token,60,0.959,0.909,0.00902773504263393
S2_1P,final_token,61,0.9615,0.897,0.01401784576887624
S2_1P,final_token,62,0.9605,0.8895,0.013910427743243577
S2_1P,final_token,63,0.9555,0.8600000000000001,0.0172046505340853
S2_3P,final_token,0,0.841,0.69,0.03743661309466978
S2_3P,final_token,1,0.8515,0.6819999999999999,0.03683069372140582
S2_3P,final_token,2,0.8664999999999999,0.7014999999999999,0.041370279186875206
S2_3P,final_token,3,0.8789999999999999,0.7064999999999999,0.04326083679264658
S2_3P,final_token,4,0.9004999999999999,0.748,0.035085609585697654
S2_3P,final_token,5,0.897,0.7665,0.037027017163147206
S2_3P,final_token,6,0.8959999999999999,0.783,0.02947880594596734
S2_3P,final_token,7,0.8989999999999998,0.805,0.01959591794226544
S2_3P,final_token,8,0.9099999999999999,0.7985,0.018096961070853845
S2_3P,final_token,9,0.917,0.8074999999999999,0.03558089374931435
S2_3P,final_token,10,0.9030000000000001,0.8215,0.0359652610167089
S2_3P,final_token,11,0.8880000000000001,0.8195,0.0406939798987516
S2_3P,final_token,12,0.8685,0.8184999999999999,0.030683871985132512
S2_3P,final_token,13,0.858,0.8140000000000001,0.027811867970346765
S2_3P,final_token,14,0.857,0.8139999999999998,0.02781186797034677
S2_3P,final_token,15,0.8654999999999999,0.8099999999999999,0.039604292696625694
S2_3P,final_token,16,0.8700000000000001,0.8215,0.039083244491725636
S2_3P,final_token,17,0.891,0.8380000000000001,0.03926194085880118
S2_3P,final_token,18,0.9029999999999999,0.842,0.043023249528597936
S2_3P,final_token,19,0.9099999999999999,0.835,0.04367493560384493
S2_3P,final_token,20,0.8935000000000001,0.8310000000000001,0.041850925915683186
S2_3P,final_token,21,0.8939999999999999,0.8235000000000001,0.04305810028322201
S2_3P,final_token,22,0.9030000000000001,0.8390000000000001,0.03501428280002319
S2_3P,final_token,23,0.915,0.849,0.04865696250281148
S2_3P,final_token,24,0.8800000000000001,0.8585,0.03927467377331095
S2_3P,final_token,25,0.8744999999999999,0.8595,0.04109136162260871
S2_3P,final_token,26,0.8885,0.8610000000000001,0.04705316142407435
S2_3P,final_token,27,0.893,0.8585,0.049684001449158674
S2_3P,final_token,28,0.9100000000000001,0.849,0.05871541535235872
S2_3P,final_token,29,0.9115,0.8385,0.05821511831131158
S2_3P,final_token,30,0.9235000000000001,0.8370000000000001,0.06065476073648301
S2_3P,final_token,31,0.914,0.8324999999999999,0.05721887800367989
S2_3P,final_token,32,0.9065,0.8325000000000001,0.05582562135793922
S2_3P,final_token,33,0.9110000000000001,0.8375,0.04933558553417604
S2_3P,final_token,34,0.916,0.843,0.03723573552382174
S2_3P,final_token,35,0.923,0.8320000000000001,0.037463315389858365
S2_3P,final_token,36,0.9174999999999999,0.833,0.04150301193889425
S2_3P,final_token,37,0.9279999999999999,0.8474999999999999,0.04470458589451424
S2_3P,final_token,38,0.9359999999999999,0.8515,0.0430290599479003
S2_3P,final_token,39,0.9389999999999998,0.857,0.04377784827969507
S2_3P,final_token,40,0.9385,0.861,0.0350927342907332
