dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.2528609,0.2992207705974579,-0.8049426
S1_3P,human,-0.31954667,0.13454608619213104,-0.77363944
S2_1P,human,2.3841858e-08,0.8748281598091125,-0.87482816
S2_3P,human,-0.17492844,0.5063445568084717,-0.85620147
Random_1P,neutral,-0.79673386,,-0.79673386
Random_3P,neutral,-1.000502,,-1.000502
Arousal_1P,arousal,0.02280569,,0.02280569
Arousal_3P,arousal,-0.33597583,,-0.33597583
Numb_1P,numb,0.2380021,,0.2380021
Numb_3P,numb,0.16088787,,0.16088787
ControlSupplement_1P,control_supplement,-0.08823251,,-0.08823251
SD_sadness_1P,sadness,0.58327377,,0.58327377
SD_sadness_3P,sadness,0.34570798,,0.34570798
