,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.7117,0.0147,0.0338,-0.1364,0.1189,0.0462,0.1424,0.2066,0.1901
S2_pain,0.7117,1.0000,0.0810,0.1685,0.0508,0.0872,0.2643,0.1274,0.1517,0.3701
Fear,0.0147,0.0810,1.0000,0.5844,0.5514,0.1589,0.3610,0.0798,0.4050,0.3760
NegEmotion,0.0338,0.1685,0.5844,1.0000,0.6357,0.1698,0.3620,0.1968,0.2443,0.5092
NegWorld,-0.1364,0.0508,0.5514,0.6357,1.0000,0.0502,0.4159,0.1890,0.1165,0.3833
BodySens,0.1189,0.0872,0.1589,0.1698,0.0502,1.0000,0.3295,0.2344,0.2647,0.1004
Arousal,0.0462,0.2643,0.3610,0.3620,0.4159,0.3295,1.0000,0.1482,0.1101,0.3409
Random,0.1424,0.1274,0.0798,0.1968,0.1890,0.2344,0.1482,1.0000,0.0115,0.0893
Numb,0.2066,0.1517,0.4050,0.2443,0.1165,0.2647,0.1101,0.0115,1.0000,0.3284
Sadness,0.1901,0.3701,0.3760,0.5092,0.3833,0.1004,0.3409,0.0893,0.3284,1.0000
