,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.7117,0.0644,0.0599,0.0238,0.0755,0.1064,0.1113,0.2551,0.2593
S2_pain,0.7117,1.0000,0.0664,0.1050,0.0791,0.1011,0.2714,0.1042,0.1406,0.3517
Fear,0.0644,0.0664,1.0000,0.6834,0.5697,0.7346,0.3681,0.3271,0.1534,0.2083
NegEmotion,0.0599,0.1050,0.6834,1.0000,0.5615,0.7895,0.3140,0.2933,0.3283,0.1799
NegWorld,0.0238,0.0791,0.5697,0.5615,1.0000,0.8416,0.3836,0.2459,0.2507,0.2720
BodySens,0.0755,0.1011,0.7346,0.7895,0.8416,1.0000,0.4479,0.2896,0.2860,0.2823
Arousal,0.1064,0.2714,0.3681,0.3140,0.3836,0.4479,1.0000,0.1926,0.0260,0.2796
Random,0.1113,0.1042,0.3271,0.2933,0.2459,0.2896,0.1926,1.0000,0.1197,0.0887
Numb,0.2551,0.1406,0.1534,0.3283,0.2507,0.2860,0.0260,0.1197,1.0000,0.1388
Sadness,0.2593,0.3517,0.2083,0.1799,0.2720,0.2823,0.2796,0.0887,0.1388,1.0000
