,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.6668,-0.0178,0.0341,-0.0063,0.1043,0.0937,0.1464,0.1581,0.2462
S2_pain,0.6668,1.0000,0.0551,0.1448,-0.0000,0.0473,0.2533,0.0728,0.1109,0.3830
Fear,-0.0178,0.0551,1.0000,0.5524,0.5836,0.0996,0.3078,0.2264,0.3259,0.3574
NegEmotion,0.0341,0.1448,0.5524,1.0000,0.6143,0.1461,0.2993,0.2356,0.2123,0.4980
NegWorld,-0.0063,-0.0000,0.5836,0.6143,1.0000,-0.0123,0.3484,0.1654,0.1468,0.4103
BodySens,0.1043,0.0473,0.0996,0.1461,-0.0123,1.0000,0.3276,0.2712,0.2607,0.1531
Arousal,0.0937,0.2533,0.3078,0.2993,0.3484,0.3276,1.0000,0.1468,0.0841,0.3419
Random,0.1464,0.0728,0.2264,0.2356,0.1654,0.2712,0.1468,1.0000,0.1100,0.1507
Numb,0.1581,0.1109,0.3259,0.2123,0.1468,0.2607,0.0841,0.1100,1.0000,0.2747
Sadness,0.2462,0.3830,0.3574,0.4980,0.4103,0.1531,0.3419,0.1507,0.2747,1.0000
