dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.07773411,0.5963428020477295,-0.7518111
S1_3P,human,0.061549798,0.6920011043548584,-0.56890154
S2_1P,human,3.0994414e-08,0.8838372230529785,-0.88383704
S2_3P,human,0.11173204,0.7269490957260132,-0.5034851
Random_1P,neutral,-0.84321475,,-0.84321475
Random_3P,neutral,-0.9548541,,-0.9548541
Arousal_1P,arousal,-0.90276885,,-0.90276885
Arousal_3P,arousal,-0.92123747,,-0.92123747
Numb_1P,numb,0.25563318,,0.25563318
Numb_3P,numb,0.47498822,,0.47498822
ControlSupplement_1P,control_supplement,-0.66917,,-0.66917
SD_sadness_1P,sadness,-0.66987425,,-0.66987425
SD_sadness_3P,sadness,-0.39598516,,-0.39598516
