dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,final_token,0,0.9055000000000002,0.8390000000000001,0.035049964336643764
S2_1P,final_token,1,0.9265000000000001,0.8465,0.017930421077041098
S2_1P,final_token,2,0.9155,0.8654999999999999,0.025758493744782545
S2_1P,final_token,3,0.9285,0.8504999999999999,0.02171405075060848
S2_1P,final_token,4,0.9385,0.8680000000000001,0.024677925358506117
S2_1P,final_token,5,0.9254999999999999,0.877,0.039918667312424154
S2_1P,final_token,6,0.9280000000000002,0.8795,0.04348562981031779
S2_1P,final_token,7,0.9400000000000001,0.8885000000000002,0.030822070014844882
S2_1P,final_token,8,0.9390000000000001,0.8775000000000001,0.020651876428063386
S2_1P,final_token,9,0.9404999999999999,0.877,0.021874642854227324
S2_1P,final_token,10,0.9355,0.8545,0.03038914279804544
S2_1P,final_token,11,0.9305000000000001,0.849,0.030919249667480598
S2_1P,final_token,12,0.9115,0.8390000000000001,0.028965496715920455
S2_1P,final_token,13,0.917,0.8280000000000001,0.03641428291206627
S2_1P,final_token,14,0.9114999999999999,0.8314999999999999,0.029816103031751147
S2_1P,final_token,15,0.9425000000000001,0.843,0.022192341021172148
S2_1P,final_token,16,0.9484999999999999,0.843,0.019786358937409338
S2_1P,final_token,17,0.9514999999999999,0.843,0.016248076809271903
S2_1P,final_token,18,0.9560000000000001,0.8574999999999999,0.022169799277395354
S2_1P,final_token,19,0.9584999999999999,0.8614999999999998,0.030520484924063673
S2_1P,final_token,20,0.9600000000000002,0.8734999999999999,0.017748239349298835
S2_1P,final_token,21,0.9635,0.8870000000000001,0.024217762076624672
S2_1P,final_token,22,0.96,0.8865000000000001,0.03213253802611922
S2_1P,final_token,23,0.9585000000000001,0.8885,0.03891015291668742
S2_1P,final_token,24,0.9644999999999999,0.893,0.031280984639234094
S2_1P,final_token,25,0.962,0.8859999999999999,0.029000000000000005
S2_1P,final_token,26,0.9635,0.8905000000000001,0.024829418035870264
S2_1P,final_token,27,0.9664999999999999,0.882,0.021482551058940834
S2_1P,final_token,28,0.9705,0.8835,0.02147091055358391
S2_1P,final_token,29,0.9735000000000001,0.884,0.022226110770892857
S2_1P,final_token,30,0.976,0.8835000000000001,0.016170961628796224
S2_1P,final_token,31,0.975,0.8800000000000001,0.015165750888103109
S2_1P,final_token,32,0.9734999999999999,0.8879999999999999,0.016170961628796218
S2_1P,final_token,33,0.9724999999999999,0.8809999999999999,0.01635542723379613
S2_1P,final_token,34,0.9705,0.876,0.016688319268278632
S2_1P,final_token,35,0.9710000000000001,0.8674999999999999,0.01488287606613723
S2_1P,final_token,36,0.9735000000000001,0.8615,0.014017845768876193
S2_1P,final_token,37,0.9730000000000001,0.8565000000000002,0.01536229149573721
S2_1P,final_token,38,0.9764999999999999,0.8585,0.013564659966250558
S2_1P,final_token,39,0.9804999999999999,0.8539999999999999,0.01307669683062203
