dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,0.07782995,0.713757336139679,-0.55809736
S1_3P,human,0.26190895,0.9089710116386414,-0.38515308
S2_1P,human,2.8610229e-08,0.9303404092788696,-0.9303404
S2_3P,human,0.08752679,0.9396288990974426,-0.76457536
Random_1P,neutral,-0.6367342,,-0.6367342
Random_3P,neutral,-0.598997,,-0.598997
Arousal_1P,arousal,-0.6034478,,-0.6034478
Arousal_3P,arousal,-0.55857444,,-0.55857444
Numb_1P,numb,0.7308706,,0.7308706
Numb_3P,numb,0.8901341,,0.8901341
ControlSupplement_1P,control_supplement,-0.2519138,,-0.2519138
SD_sadness_1P,sadness,-0.23877676,,-0.23877676
SD_sadness_3P,sadness,-0.15280011,,-0.15280011
