,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.6770,-0.0544,0.0287,-0.0131,-0.0251,-0.0095,0.0760,0.3350,0.0603
S2_pain,0.6770,1.0000,0.0886,0.1795,0.2566,0.1638,0.1443,0.0828,0.4861,0.1744
Fear,-0.0544,0.0886,1.0000,0.5119,0.2961,0.3622,0.3901,0.1201,0.4663,0.3484
NegEmotion,0.0287,0.1795,0.5119,1.0000,0.3502,0.3106,0.7715,0.0298,0.3212,0.2681
NegWorld,-0.0131,0.2566,0.2961,0.3502,1.0000,0.1656,0.5162,0.1107,0.4596,0.3775
BodySens,-0.0251,0.1638,0.3622,0.3106,0.1656,1.0000,0.2802,0.3101,0.2919,0.1876
Arousal,-0.0095,0.1443,0.3901,0.7715,0.5162,0.2802,1.0000,0.1009,0.2864,0.3310
Random,0.0760,0.0828,0.1201,0.0298,0.1107,0.3101,0.1009,1.0000,0.0625,0.0173
Numb,0.3350,0.4861,0.4663,0.3212,0.4596,0.2919,0.2864,0.0625,1.0000,0.5641
Sadness,0.0603,0.1744,0.3484,0.2681,0.3775,0.1876,0.3310,0.0173,0.5641,1.0000
