,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.6770,-0.0586,0.0020,-0.0227,-0.0313,-0.0212,0.1004,0.3582,0.0417
S2_pain,0.6770,1.0000,0.1478,0.1784,0.2784,0.2332,0.0743,0.1664,0.5052,0.1232
Fear,-0.0586,0.1478,1.0000,0.3849,0.8172,0.6543,0.4503,0.3741,0.4190,0.3430
NegEmotion,0.0020,0.1784,0.3849,1.0000,0.6893,0.6674,0.7757,0.3157,0.2133,0.1430
NegWorld,-0.0227,0.2784,0.8172,0.6893,1.0000,0.7678,0.5979,0.4003,0.4736,0.2859
BodySens,-0.0313,0.2332,0.6543,0.6674,0.7678,1.0000,0.5244,0.2895,0.4229,0.2777
Arousal,-0.0212,0.0743,0.4503,0.7757,0.5979,0.5244,1.0000,0.3090,0.2083,0.2386
Random,0.1004,0.1664,0.3741,0.3157,0.4003,0.2895,0.3090,1.0000,0.1708,0.1020
Numb,0.3582,0.5052,0.4190,0.2133,0.4736,0.4229,0.2083,0.1708,1.0000,0.4766
Sadness,0.0417,0.1232,0.3430,0.1430,0.2859,0.2777,0.2386,0.1020,0.4766,1.0000
