,S1_pain,S2_pain,Fear,NegEmotion,NegWorld,BodySens,Arousal,Random,Numb,Sadness
S1_pain,1.0000,0.7148,-0.0426,0.0134,-0.0002,0.0248,-0.0244,0.0582,0.3654,0.0657
S2_pain,0.7148,1.0000,-0.0203,0.0154,0.0585,-0.0054,-0.0730,0.0499,0.3757,0.0791
Fear,-0.0426,-0.0203,1.0000,0.5128,0.2926,0.3350,0.3930,0.1321,0.4522,0.3609
NegEmotion,0.0134,0.0154,0.5128,1.0000,0.3344,0.3028,0.7750,0.0447,0.3140,0.2742
NegWorld,-0.0002,0.0585,0.2926,0.3344,1.0000,0.1689,0.5016,0.1341,0.4519,0.3825
BodySens,0.0248,-0.0054,0.3350,0.3028,0.1689,1.0000,0.2965,0.2969,0.2905,0.2347
Arousal,-0.0244,-0.0730,0.3930,0.7750,0.5016,0.2965,1.0000,0.0922,0.2807,0.3405
Random,0.0582,0.0499,0.1321,0.0447,0.1341,0.2969,0.0922,1.0000,0.0870,0.0618
Numb,0.3654,0.3757,0.4522,0.3140,0.4519,0.2905,0.2807,0.0870,1.0000,0.5467
Sadness,0.0657,0.0791,0.3609,0.2742,0.3825,0.2347,0.3405,0.0618,0.5467,1.0000
