model,layer,vector,end,rank,token,score
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,1, desire,0.1869
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,2, attraction,0.1803
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,3,欲望,0.1731
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,4, desires,0.165
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,5, Desire,0.165
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,6,吸引力,0.1647
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,7, desirable,0.1553
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,8,吸引,0.1522
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,9, lust,0.1522
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,10,渴望,0.1517
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,11, blush,0.1517
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,12,欲,0.1484
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,13, desired,0.1472
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,14, Lust,0.1454
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,15, attracted,0.1443
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,16,lust,0.1397
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,17, désir,0.1373
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,18, sexual,0.1347
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,19,诱惑,0.1341
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,20, attractions,0.1338
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,21, dục,0.1332
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,22,desired,0.1331
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,23, Sexual,0.1304
Qwen_2.5_32B_instruct_abliterated,59,s2_pain_vector,top,24,暧昧,0.1303
